TSE,Trinseo S.A.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/tse,NYSE
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi,NYSE
TROX,Tronox Holdings plc,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/trox,NYSE
LTHM,Livent Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lthm,NYSE
SUM,"Summit Materials, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/sum,NYSE
OR,Osisko Gold Royalties Ltd,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/or,NYSE
NEXA,Nexa Resources S.A.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nexa,NYSE
KRO,Kronos Worldwide Inc,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kro,NYSE
IAG,Iamgold Corporation,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/iag,NYSE
IBP,"Installed Building Products, Inc.",Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/ibp,NYSE
DY,"Dycom Industries, Inc.",Basic Industries,Water Supply,https://www.nasdaq.com/symbol/dy,NYSE
PVG,"Pretium Resources, Inc.",Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pvg,NYSE
NPO,EnPro Industries,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/npo,NYSE
AMWD,American Woodmark Corporation,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd,NASDAQ
SSRM,SSR Mining Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ssrm,NASDAQ
FOE,Ferro Corporation,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/foe,NYSE
DOOR,Masonite International Corporation,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/door,NYSE
SLCA,"U.S. Silica Holdings, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/slca,NYSE
AG,First Majestic Silver Corp.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ag,NYSE
OEC,Orion Engineered Carbons S.A,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/oec,NYSE
CSTM,Constellium N.V.,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/cstm,NYSE
SWM,"Schweitzer-Mauduit International, Inc.",Basic Industries,Paper,https://www.nasdaq.com/symbol/swm,NYSE
PATK,"Patrick Industries, Inc.",Basic Industries,Forest Products,https://www.nasdaq.com/symbol/patk,NASDAQ
CVCO,"Cavco Industries, Inc.",Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/cvco,NASDAQ
KRA,Kraton Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kra,NYSE
SKY,Skyline Champion Corporation,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/sky,NYSE
NP,"Neenah, Inc.",Basic Industries,Paper,https://www.nasdaq.com/symbol/np,NYSE
CDXS,"Codexis, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/cdxs,NASDAQ
PRIM,Primoris Services Corporation,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/prim,NASDAQ
EVA,"Enviva Partners, LP",Basic Industries,Forest Products,https://www.nasdaq.com/symbol/eva,NYSE
HL,Hecla Mining Company,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hl,NYSE
HMY,Harmony Gold Mining Company Limited,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hmy,NYSE
MERC,Mercer International Inc.,Basic Industries,Paper,https://www.nasdaq.com/symbol/merc,NASDAQ
TPC,Tutor Perini Corporation,Basic Industries,General Bldg Contractors - Nonresidential Bldgs,https://www.nasdaq.com/symbol/tpc,NYSE
CSWI,"CSW Industrials, Inc.",Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/cswi,NASDAQ
ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix,NYSE
REGI,"Renewable Energy Group, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/regi,NASDAQ
VHI,"Valhi, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vhi,NYSE
CENX,Century Aluminum Company,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/cenx,NASDAQ
CDE,"Coeur Mining, Inc.",Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cde,NYSE
WLKP,Westlake Chemical Partners LP,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/wlkp,NYSE
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks,NYSE
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/agx,NYSE
CVIA,Covia Holdings Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/cvia,NYSE
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc,NYSE
RYAM,Rayonier Advanced Materials Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ryam,NYSE
VRS,Verso Corporation,Basic Industries,Paper,https://www.nasdaq.com/symbol/vrs,NYSE
GPRE,"Green Plains, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gpre,NASDAQ
EGO,Eldorado Gold Corporation,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ego,NYSE
RFP,Resolute Forest Products Inc.,Basic Industries,Paper,https://www.nasdaq.com/symbol/rfp,NYSE
LXFR,Luxfer Holdings PLC,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lxfr,NYSE
VNTR,Venator Materials PLC,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vntr,NYSE
SA,"Seabridge Gold, Inc.",Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sa,NYSE
HCCI,"Heritage-Crystal Clean, Inc.",Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/hcci,NASDAQ
GLT,Glatfelter,Basic Industries,Paper,https://www.nasdaq.com/symbol/glt,NYSE
FF,FutureFuel Corp.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ff,NYSE
AEGN,Aegion Corp,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,NASDAQ
ROAD,"Construction Partners, Inc.",Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/road,NASDAQ
GLDD,Great Lakes Dredge & Dock Corporation,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/gldd,NASDAQ
MYRG,"MYR Group, Inc.",Basic Industries,Water Supply,https://www.nasdaq.com/symbol/myrg,NASDAQ
SXCP,"SunCoke Energy Partners, L.P.",Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sxcp,NYSE
KOP,Koppers Holdings Inc.,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/kop,NYSE
SXC,"SunCoke Energy, Inc.",Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sxc,NYSE
